Class,Energy,Contrast,Correlation,Variance,Homogeniety/IDM,Sum Avg,Sum Variance,Sum Entropy,Entropy,Diff Variance,Diff Entropy,Info Measure of Correl I,Info Measure of Correl II,Maximal Correl Coeff,Autocorrelation,Cluster Prominence,Cluster Shade,Dissimilarity,Max Prob,Inverse Diff,Inverse Diff Normalized,Inverse Moment Normalized,SRE,LRE,GLN,RLN,RP,LGRE,HGRE,SRLGE,SRHGE,LRLGE,LRHGE,m(L5E5/E5L5),m(L5R5/R5L5),m(E5S5_S5E5),m(S5S5),m(R5R5),m(L5S5/S5L5),m(E5E5),m(E5R5/R5E5),m(S5R5/R5S5),s(L5E5/E5L5),s(L5R5/R5L5),s(E5S5_S5E5),s(S5S5),s(R5R5),s(L5S5/S5L5),s(E5E5),s(E5R5/R5E5),s(S5R5/R5S5),Skewness,Kurtosis
nor,0.074077499,0.571572581,0.872478758,29.53960591,0.756552419,10.48084677,118.2409274,2.430091663,4.131055665,0.461945565,0.806673486,-0.400897748,0.934869729,0.16192825,,663.0352872,1.863534153,0.734879032,0.09375,0.698917531,0.92325647,0.982535554,0.118922613,25.59827753,348.9168379,95.26809446,2.63671875,0.738113225,3.381864341,0.075671004,0.769989224,19.00814786,75.71659256,104.0966797,75.50195313,58.30175781,27.74121094,20.47753906,82.16699219,97.38671875,36.91992188,17.59570313,13.18352606,10.70643718,3.05961198,18.23688356,12.90278355,14.90882923,5.860419601,7.033903183,9.52253371,-0.204437716,2.793988776
nor,0.16386485,0.452620968,0.873505448,47.81546907,0.822076613,13.59979839,191.6582661,2.001527827,3.388826018,0.375252016,0.756503447,-0.41774026,0.912655407,0.199625747,,699.6318064,-6.298513875,0.709677419,0.097782258,0.713407258,0.926180383,0.982736538,0.113326587,24.00666291,363.4463705,100.6580242,2.681640625,0.747596122,3.273873223,0.069437809,0.600035419,18.1113163,79.42913315,88.47949219,77.359375,58.53027344,31.625,23.49121094,86.32617188,96.81835938,39.69824219,20.72753906,15.68842478,14.61208809,5.08464622,14.39168291,13.76926582,19.43914274,6.419505192,6.398816278,9.23183521,-0.812353883,5.673266235
nor,0.106586563,0.453629032,0.894935634,9.169031943,0.805846774,5.326612903,36.55443548,2.250168963,3.731683541,0.369455645,0.75699644,-0.448474115,0.940406605,0.197152569,,698.8204094,1.445892306,0.65625,0.096774194,0.717893145,0.930374308,0.98574342,0.146239143,23.62527567,375.0189216,96.56306086,2.729492188,0.743157771,3.106047652,0.097000943,0.55171205,17.39153124,80.77756403,105.2890625,75.58300781,61.94824219,27.84277344,21.18164063,86.49121094,106.359375,38.55957031,19.95410156,13.94036686,14.03520074,3.854682226,12.88087816,16.90957697,16.05135014,5.873464026,7.184555783,10.15769319,-0.309447845,2.369534444
nor,0.073752317,0.537298387,0.894880396,19.75473318,0.773689516,8.325604839,79.00100806,2.494026067,4.207353164,0.436239919,0.804019964,-0.432800469,0.949790006,0.155552318,,754.432104,6.210471958,0.660282258,0.101814516,0.712365591,0.929721846,0.985945861,0.132080948,23.5301596,312.3257531,91.34774136,2.541992188,0.708426271,3.568421662,0.080841284,0.61184992,16.74181036,84.15550571,99.94921875,72.47460938,53.45019531,23.55078125,21.06054688,91.140625,96.66796875,34.19238281,17.95117188,14.00090737,14.09096906,5.573175209,14.63833461,15.86256982,17.03118018,7.347987211,8.207477216,10.68918963,-0.02959267,4.044440056
nor,0.08821225,0.471774194,0.904650451,34.5184208,0.800403226,11.35282258,138.3104839,2.342746983,3.907378733,0.384576613,0.770104896,-0.457564892,0.949502409,0.171177346,,733.0474076,-5.075526905,0.595766129,0.110887097,0.742204301,0.936720023,0.987149449,0.1427483,23.97481628,335.5369953,90.74180078,2.578125,0.724997872,3.827033473,0.092499483,0.73648458,16.88635693,105.5673242,96.27832031,72.33398438,52.15429688,22.43652344,20.34082031,84.71875,100.7978516,34.48046875,16.9140625,11.14301077,14.43488587,4.324093755,14.74858269,15.7586206,12.94723595,6.628978924,8.399615866,10.189988,-0.313235996,4.069416971
nor,0.071328694,0.537298387,0.896538705,32.53692824,0.768850806,10.97479839,130.2953629,2.467704915,4.143150505,0.43422379,0.796851304,-0.43708424,0.949455072,0.162256109,,637.2797842,-2.820771049,0.695564516,0.08266129,0.704317876,0.926464239,0.984560686,0.134837382,23.284654,394.8468281,103.106788,2.765625,0.763074741,3.048133006,0.095470653,0.49641914,17.56812946,78.25072814,99.36621094,80.55175781,57.17089844,25.47753906,22.453125,87.03710938,97.68652344,39.3828125,19.17578125,20.07520956,14.42440064,3.761496219,17.7904739,15.15588289,13.8474691,7.815017417,6.48836587,10.69034772,0.420422375,3.058261723
nor,0.106778624,0.455645161,0.895926602,39.04693013,0.801209677,12.1733871,156.4919355,2.288288836,3.796353793,0.369455645,0.752144322,-0.447450564,0.942277487,0.171892033,,771.4100593,10.98809261,0.703629032,0.110887097,0.699663978,0.925587763,0.984420111,0.12046196,24.25134356,373.1726901,97.48231644,2.684570313,0.75430803,3.403512857,0.081080467,0.765379318,18.14366543,80.53723931,95.59765625,79.07714844,52.81152344,24.59472656,26.71679688,85.64453125,94.46582031,40.06152344,21.46679688,13.90550129,15.66835195,6.647543748,14.06766416,16.11564751,16.2799049,8.896418389,5.607276758,9.364593333,0.256949015,2.637963232
nor,0.120338718,0.509072581,0.896980475,43.16281029,0.804595588,12.78931452,172.9405242,2.226802098,3.764393575,0.422127016,0.796677358,-0.444642838,0.940098609,0.186933287,,698.1038962,1.416751524,0.581653226,0.099798387,0.749008737,0.938299559,0.987365937,0.128270043,24.81682408,346.4231686,93.73231061,2.633789063,0.723294998,3.477460763,0.080438825,0.596705039,17.71741255,92.48781163,91.28808594,76.71386719,51.92285156,23.29101563,19.96972656,88.16210938,92.88476563,36.16796875,17.87792969,14.97859395,13.39105681,6.125205262,12.98486459,15.62968696,12.68427887,7.142205255,7.77732867,9.489331,0.866487595,4.085849457
nor,0.112996716,0.514112903,0.93797957,38.99873204,0.79858871,11.83870968,156.2197581,2.38227966,3.993108471,0.424395161,0.800578876,-0.506760296,0.966168629,0.150945588,,779.9225349,0.392149117,0.507056452,0.107862903,0.76733871,0.945147035,0.990320394,0.118853322,24.2828014,275.1152659,86.77207849,2.354492188,0.676803336,4.861380723,0.069716668,1.000264537,16.26001289,127.5621816,87.35058594,72.34375,41.46582031,18.20214844,15.61035156,84.77734375,86.55859375,29.3515625,14.01171875,12.15205052,14.1275956,5.368769187,12.53774608,14.7465387,14.87970146,8.761775294,9.537288082,10.40369217,-0.469622673,1.820550185
nor,0.12011922,0.389112903,0.890977341,8.219876197,0.82358871,5.10483871,32.80846774,2.162341173,3.538478727,0.315020161,0.703398596,-0.464859406,0.939519221,0.217456316,,744.3640761,-4.943761853,0.578629032,0.129032258,0.745379704,0.938117058,0.988050927,0.124724262,24.80932216,332.1476582,94.28606087,2.549804688,0.722713315,3.93622292,0.082632673,0.740277064,17.73143817,102.4381311,94.60058594,75.890625,49.99511719,23.30957031,22.40234375,85.58007813,92.39648438,37.04101563,17.83203125,14.67070888,14.12369048,4.926350325,17.67357585,15.04536035,15.14629033,8.117730158,6.764939274,10.88603812,-0.377544695,3.089121579
