Class,Energy,Contrast,Correlation,Variance,Homogeniety/IDM,Sum Avg,Sum Variance,Sum Entropy,Entropy,Diff Variance,Diff Entropy,Info Measure of Correl I,Info Measure of Correl II,Maximal Correl Coeff,Autocorrelation,Cluster Prominence,Cluster Shade,Dissimilarity,Max Prob,Inverse Diff,Inverse Diff Normalized,Inverse Moment Normalized,SRE,LRE,GLN,RLN,RP,LGRE,HGRE,SRLGE,SRHGE,LRLGE,LRHGE,m(L5E5/E5L5),m(L5R5/R5L5),m(E5S5_S5E5),m(S5S5),m(R5R5),m(L5S5/S5L5),m(E5E5),m(E5R5/R5E5),m(S5R5/R5S5),s(L5E5/E5L5),s(L5R5/R5L5),s(E5S5_S5E5),s(S5S5),s(R5R5),s(L5S5/S5L5),s(E5E5),s(E5R5/R5E5),s(S5R5/R5S5),Skewness,Kurtosis
nor,0.218408955,0.07431629,0.733833229,0.507352565,0.743422942,0.620493926,0.506564123,0.724347079,0.468479518,0.065160871,0.179781922,0.338922729,0.805667146,0.457422632,#DIV/0!,0.47209324,0.472160226,0.300876339,0.453125,0.618940228,0.675326937,0.761678712,0.153435549,1,0.302479878,0.478306902,0.345939933,0.392046013,0.464009393,0.137218653,0.631323505,0.723016931,0.295609133,0.828854061,0.536581874,0.501017146,0.358366658,0.328680625,0,0.579804433,0.33534435,0.245874059,0.166301696,0,0.186069674,0.898238604,0,0.566922026,0.374493114,0.52489195,0.63360422,0.395305725,0.183121808
nor,0.617034283,0.039239001,0.737160723,0.90337736,0.917691581,0.928599881,0.90296964,0.295958437,0.195034497,0.03721157,0.124106603,0.296192778,0.706614524,0.742130022,#DIV/0!,0.637376881,0,0.276533593,0.515625,0.673617998,0.706457402,0.76642005,0.02018271,0.586610459,0.351734906,0.66016432,0.397107898,0.445323716,0.430318939,0.03944789,0.401295753,0.576805496,0.334780045,0.352362791,0.627356464,0.507817495,0.504274131,0.475193467,0.381870349,0.55713117,0.418262365,0.374339048,0.370450572,0.787125756,0.645453209,0.521940228,0.059825777,0.886179157,0.467954791,0.440531705,0.583005075,0.107988766,0.629213196
nor,0.362738154,0.039536266,0.806615772,0.065936894,0.87452658,0.111332404,0.065510597,0.544497929,0.321346728,0.035342866,0.124653694,0.218220079,0.830355816,0.723451537,#DIV/0!,0.633712307,0.448000375,0.224926972,0.5,0.690545736,0.751109488,0.837354201,0.803898085,0.487552876,0.390965785,0.521999354,0.451612903,0.420387753,0.377961673,0.471789364,0.335891418,0.459458146,0.349007302,0.865234491,0.54054312,0.609532113,0.362182192,0.362911266,0.397023222,0.937745919,0.384279094,0.342613363,0.227984109,0.670862705,0.366433133,0.374090108,0.276646778,0.647436973,0.376673735,0.544903526,0.744160438,0.345675212,0.117360371
nor,0.216965257,0.064209275,0.806436744,0.295321418,0.789000894,0.40758813,0.294694273,0.788255346,0.496588299,0.056873578,0.176837223,0.257984582,0.872195962,0.409268901,#DIV/0!,0.88487563,0.723622988,0.228821811,0.578125,0.669687213,0.744162829,0.842129914,0.466762452,0.46284841,0.178436319,0.346033325,0.238042269,0.225255974,0.522210485,0.218317061,0.417286353,0.353533438,0.384647871,0.702312139,0.3886317,0.356640511,0.200939208,0.357024166,0.823903882,0.551131715,0.253941885,0.260455055,0.232918152,0.682101978,0.7562771,0.546078014,0.204356763,0.71648688,0.623168031,0.680780839,0.836673007,0.477942032,0.376856367
nor,0.281162448,0.044887039,0.83810141,0.615239899,0.860048878,0.706632145,0.614926575,0.637038104,0.38607464,0.040217745,0.139200572,0.195156509,0.870913583,0.527275706,#DIV/0!,0.7882943,0.070747661,0.166504382,0.71875,0.782285199,0.818671369,0.870523275,0.720773949,0.578338944,0.257122291,0.325588756,0.27919911,0.318360102,0.602890725,0.401181718,0.585975901,0.377099023,0.610563374,0.59031047,0.381759175,0.318076141,0.159078402,0.322033898,0.234286739,0.715882972,0.26253971,0.217913796,0,0.751413288,0.472920186,0.556867093,0.197179649,0.428685977,0.502972267,0.706303115,0.74978169,0.343884834,0.380726083
nor,0.206205195,0.064209275,0.811811311,0.572302381,0.776131825,0.669288986,0.571650175,0.761944955,0.472935381,0.056223594,0.168881928,0.24711653,0.870702508,0.459898763,#DIV/0!,0.355771705,0.20118135,0.262901655,0.28125,0.639318724,0.709479574,0.809452792,0.532398785,0.399083323,0.458182269,0.74278615,0.492769744,0.532287153,0.359893791,0.447785994,0.261054,0.488249148,0.322346727,0.684524164,0.783372309,0.467364138,0.273324284,0.424725823,0.447144266,0.591764385,0.408848474,0.31068739,0.727972886,0.749300146,0.34529368,0.854552137,0.155563965,0.492126587,0.701240918,0.45242681,0.836874585,0.690630823,0.224066068
nor,0.363590838,0.040130797,0.80982749,0.713369435,0.862193722,0.787691695,0.713094499,0.582602219,0.345171913,0.035342866,0.119269141,0.220816859,0.838697994,0.532673319,#DIV/0!,0.961554459,1,0.270691334,0.71875,0.621756989,0.700147868,0.80613656,0.190090551,0.650161283,0.384707071,0.553015239,0.400444939,0.48303319,0.470763174,0.222068774,0.625084126,0.58207941,0.346471643,0.569542935,0.711306257,0.337634409,0.240158491,0.632008736,0.319286291,0.463282559,0.429104369,0.404662714,0.225142571,1,1,0.490231159,0.221830369,0.663543526,0.882017439,0.335389453,0.606113029,0.61336907,0.158948503
nor,0.423793046,0.05588585,0.813243082,0.802557595,0.871198916,0.848536148,0.801906099,0.521140617,0.33339744,0.052323692,0.168688895,0.227940142,0.828982479,0.646271216,#DIV/0!,0.630476264,0.446314631,0.152872444,0.546875,0.807962105,0.835488453,0.875630355,0.376016992,0.797033352,0.294026354,0.426489217,0.342602892,0.308792857,0.493833021,0.212004292,0.396788178,0.512586935,0.4725618,0.438054943,0.595809669,0.311188608,0.191180247,0.303992784,0.550434861,0.40021037,0.312902568,0.257450729,0.312599464,0.541045092,0.881506349,0.384266411,0.188277498,0.410155047,0.588767705,0.62364309,0.627824938,0.901452823,0.383271996
nor,0.391197051,0.057372176,0.946120797,0.712325017,0.855222977,0.754630552,0.71162492,0.676554621,0.417658356,0.053054924,0.173018536,0.070346313,0.945227476,0.374476935,#DIV/0!,1,0.387043171,0.080817916,0.671875,0.877131251,0.908392507,0.945327778,0.151785581,0.658331819,0.052292991,0.191649451,0.024471635,0.047589022,0.925580492,0.043821925,0.942994741,0.274985466,0.842630504,0.317919075,0.382236434,0,0,0.092057162,0.239666457,0.147843703,0.109469266,0.098862362,0.082236591,0.689483512,0.709907138,0.340510574,0.127301029,0.564869354,0.859509312,0.857423073,0.786979159,0.269972431,0.0323053
nor,0.42281855,0.020511296,0.793786978,0.045369372,0.921713165,0.089424417,0.045284826,0.456706043,0.250168091,0.017793305,0.065174426,0.17665011,0.826399011,0.876793996,#DIV/0!,0.83940463,0.078370039,0.149951315,1,0.794267755,0.83354539,0.89178969,0.291584698,0.795084883,0.245632459,0.445172872,0.246941046,0.305524791,0.636955027,0.246415902,0.591108923,0.514873547,0.577547345,0.539121626,0.555576767,0.253821563,0.191877316,0.422257038,0.3133686,0.380731622,0.338958352,0.255568018,0.287506877,0.688696493,0.609543432,0.84311228,0.147932999,0.583656221,0.751845049,0.489164774,0.870936566,0.313490874,0.228847239
